1 202940_642319 -86.923517807
2 202940_676679 -86.9270717396
3 202940_703604 -86.9452070577
4 202940_752487 -86.9320205412
5 202940_782419 -86.9219218454
6 202940_809684 -86.9267884808
7 202940_837353 -86.9344740884
8 202940_864569 -86.9044558033
9 202940_906396 -86.9357430933
10 202940_932049 -86.8791183321
11 202940_974187 -86.9134961093
12 202941_000097 -86.9262641702
13 202941_042576 -86.9195120498
14 202941_069330 -86.9330999395
15 202941_112681 -86.9252852824
16 202941_139121 -86.9188657949
17 202941_166242 -86.943864964
18 202941_209531 -86.9223699797
19 202941_236142 -86.910016183
20 202941_277456 -86.9426719653
21 202941_305833 -86.8880234108
22 202941_334400 -86.899486785
23 202941_377331 -86.9155399859
24 202941_405082 -86.9241680129
25 202941_432050 -86.9347244623
26 202941_473833 -86.9355593903
27 202941_501009 -86.9208873349
28 202941_543422 -86.8984950522
29 202941_570977 -86.9175802385
30 202941_598833 -86.927135803
31 202941_641661 -86.9130838938
32 202941_668274 -86.9139288232
33 202941_710447 -86.9115624674
34 202941_737163 -86.9149155231
35 202941_765105 -86.9191460204
36 202941_807201 -86.923934259
37 202941_846004 -86.898929255
38 202941_874341 -86.9079463301
39 202941_901192 -86.9149433361
40 202941_943577 -86.9062027377
41 202941_971595 -86.9021760602
42 202942_000429 -86.8929901376
43 202942_045944 -86.9219633974
44 202942_074271 -86.9102777741
45 202942_103051 -86.9031996786
46 202942_131397 -86.8967490318
47 202942_176315 -86.90674872
48 202942_204246 -86.8939958661
49 202942_231201 -86.8897964566
50 202942_273835 -86.904376417
51 202942_300434 -86.9177729038
52 202942_342896 -86.9341826026
53 202942_369962 -86.9142692994
54 202942_397820 -86.9117980108
55 202942_440553 -86.8906188332
56 202942_467603 -86.9358577425
57 202942_510207 -86.9199015024
58 202942_536061 -86.8942181314
59 202942_578224 -86.9260251587
60 202942_604158 -86.905580269
61 202942_631870 -86.901582979
62 202942_674069 -86.9129005472
63 202942_700959 -86.9120635074
64 202942_743390 -86.913928779
65 202942_769812 -86.9367574278
66 202942_812552 -86.9241927663
67 202942_838981 -86.9125562143
