1 109.947440004
2 109.765352787
3 109.643702073
4 109.884202104
5 109.841283267
6 109.787797829
7 109.825669125
8 109.593449161
9 109.625983388
10 109.537467426
11 109.88456763
12 109.824187399
13 109.984634093
14 109.818664272
15 109.637471161
16 110.06258245
17 109.696202097
18 110.024900441
19 110.206016596
20 109.883776384
21 109.961431578
22 109.67393927
23 110.10240887
24 109.984340101
25 109.634598468
26 110.021538087
27 111.273851856
28 112.433742683
29 109.745759753
30 -171.824545119
31 0.0
