1 -93.4555515667
2 -93.4893386742
3 -93.4885161987
4 -93.4603078044
5 -93.4840319613
6 -93.5083012621
7 -93.4688378308
8 -93.5268757668
9 -93.459480178
10 -93.4675217849
11 -93.4450153869
12 -93.4736700715
13 -93.5212785121
14 -93.5101668925
15 -93.5365623025
16 -93.4910022287
17 -93.487588223
18 -93.4276186711
19 -93.4783163318
20 -93.5166279195
21 -93.4866227816
22 -93.4905545431
23 -93.4845931968
24 -93.4521171098
25 -93.4779371753
26 -93.4977523492
27 -93.4859951143
28 -93.4389847442
29 -93.4573264657
30 -93.4847952542
31 -93.4956014254
32 -93.4529743685
33 -93.4670194351
34 -93.4732385848
35 -93.4703896611
36 -93.5077064385
37 -93.4585120768
38 -93.5258085839
39 -93.4900857345
40 -93.4932530215
41 -93.4838952439
42 -93.5337465936
43 -93.516258369
44 -93.5104082577
